gene	gene_pval_positive	ngrna_lfc_positive	fdr_gene_positive	gene_lfc_positive	gene_pval_negative	ngrna_lfc_negative	fdr_gene_negative	gene_lfc_negative
C0343					0.0001331430546799926	4.0	0.0002822718016241252	-1.714175816714922
C0362	0.5165941874066272	4.0	0.9129228919134229		3.338644207946716e-173	8.0	6.316396875320145e-171	-2.672478629018283
C0465	0.12783321213176235	2.0	0.35086710755996375					
C0664					6.3819440940684435e-124	5.0	7.244418253066837e-122	-3.7145167019834777
G0-10697	0.9787607536419332	2.0	0.9994630414401307					
G0-10700	0.00019621186846310724	4.0	0.0026900230985054986	0.5670298300846515	0.6640285595645408	2.0	0.8330235134669783	
G0-10702					0.009184758490670552	2.0	0.015997827919085536	-1.3506543969801308
G0-10703	0.693253866287369	3.0	0.9994630414401307					
G0-10704	0.991586735617336	2.0	0.9994630414401307					
G0-10706	0.9827344473498397	2.0	0.9994630414401307					-0.517674266593097
IS128	0.7725669543846326	2.0	0.9994630414401307					
aaeA	0.660032887133586	10.0	0.9994630414401307		0.9542607796550089	2.0	0.9995334312006408	
aaeB	0.00019104414579868361	21.0	0.002682177341914612	0.37680351350264163	0.015921225496528555	22.0	0.02692849250647422	-1.5946775571785428
aaeR	0.3405351027537979	8.0	0.7099938600684151		0.9758540466455774	11.0	0.9995334312006408	
aaeX	0.8541404271053101	2.0	0.9994630414401307					
aas	0.049918563020095195	32.0	0.18363067998815416	0.5535736292976533	2.2081098373228012e-16	18.0	8.988545475085542e-16	-2.272667071453088
aat	0.3566602635877702	12.0	0.7282455100496479	0.37095239078563996	0.9045977687423226	5.0	0.9995334312006408	
abgA	0.8097689327001657	12.0	0.9994630414401307		1.051228994863344e-07	10.0	2.73333298206287e-07	-1.6885022695207765
abgB	0.0013515625562807723	22.0	0.012412114487444363	0.414059299979106	0.7286727804532616	12.0	0.8963222127098541	
abgR	0.0004361937516915459	7.0	0.0050819827249316525	0.46337517526907285	7.872285926790483e-27	3.0	4.819197532686994e-26	-5.684524065557898
abgT	0.08661298885613974	14.0	0.2693456354623007	0.34025605035909257	7.087769557780589e-35	21.0	5.966039926496246e-34	-2.3732049483808715
abpA	0.3943545444672151	12.0	0.7801144384468021	0.3312468663754839	0.4411204070312933	11.0	0.5853611814079253	
abpB	0.9412373190447131	15.0	0.9994630414401307		9.543544165366776e-40	17.0	9.316093604177445e-39	-2.595758185644127
abrB	0.028482495711378394	16.0	0.12409988554165377	0.4942785306118036	0.013119899526565604	6.0	0.02241951002969684	-1.0390421397900336
