gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
C0343											6.657374337164957e-05	2.0	-1.714175816714922	8.036305941634901e-05	-1.714175816714922	0.6669936456865175	-2.5700032193718574	0.010169756988888832	2.0	0.014666936557733061
C0362											3.338644207946716e-173	8.0	-2.6724786290182836	2.853745882506836e-171	-2.6724786290182836	0.5681967350543253	-4.70343890441885	2.558156704229277e-06	8.0	6.386496918068919e-06
C0664											3.829166456441066e-124	3.0	-3.7145167019834786	1.9638153683747752e-122	-3.7145167019834786	0.9051365707787475	-4.103819049966835	4.0638536019683195e-05	3.0	8.857494854077282e-05
aaeB	1.8196253213421253e-05	2.0	0.37680351350264163	8.41838151540466e-05	0.37680351350264163	0.017678113348646857	21.314690435078777	8.295417161587709e-101	2.0	5.611605726956391e-100	0.0029138065548180896	4.0	-1.5946775571785425	0.0031375421511088608	-1.5946775571785425	0.6491788436359766	-2.456453368453808	0.01403160114449605	4.0	0.01948922344790422
aas	0.004711812120103475	3.0	0.5535736292976533	0.007555794336022505	0.5535736292976533	0.09104483199904814	6.080231212941783	1.20009368638854e-09	3.0	1.7008370027161528e-09	3.680183062204669e-17	3.0	-2.2726670714530877	7.968550780045092e-17	-2.2726670714530877	0.5578873197003072	-4.073702683678035	4.627154567885215e-05	3.0	9.97087929094113e-05
abgA											2.1024580781332856e-08	2.0	-1.6885022695207765	3.068221341666055e-08	-1.6885022695207765	0.41690923179562395	-4.050047686035672	5.1207197004459756e-05	2.0	0.00010994846725239864
abpB											1.684154852711784e-40	3.0	-2.595758185644127	8.192568998963828e-40	-2.595758185644127	1.015847595112817	-2.5552634057826853	0.01061074681913663	3.0	0.015219491004702879
accA											2.4061060255218763e-62	11.0	-7.332996409609046	2.2035511815366165e-61	-7.332996409609046	0.4488181307281853	-16.338458514836777	5.256511133917708e-60	11.0	9.435437485382286e-59
accB											2.117225549667309e-59	3.0	-5.42294596614929	1.775897131613467e-58	-5.42294596614929	0.44550409913084427	-12.172606215586299	4.349687862724971e-34	3.0	5.205126475727549e-33
accC											6.4115681317460756e-86	13.0	-7.93344675641991	1.2509526952700223e-84	-7.93344675641991	0.44254859208787206	-17.92672465410228	7.295272053929627e-72	13.0	1.4080659501939442e-70
accD											1.1229774361651635e-28	6.0	-6.416677338787575	3.6059830016394788e-28	-6.416677338787575	1.086605873925412	-5.9052481610531355	3.5211630222180944e-09	6.0	1.1639940377313959e-08
aceB											1.250731061557448e-28	4.0	-2.4273186640901887	3.9947726966114225e-28	-2.4273186640901887	0.6210876109843029	-3.9081743399185846	9.299619196474022e-05	4.0	0.0001925353686005867
aceE											4.3614578652001795e-43	21.0	-2.308050137382712	2.2891277391913222e-42	-2.308050137382712	0.16000300523772937	-14.425042416881206	3.600484843114014e-47	21.0	5.57143990809453e-46
aceF											3.614629720966118e-38	16.0	-2.940514510762915	1.6099901610754792e-37	-2.940514510762915	0.2620241290688773	-11.222304301562827	3.1690367058412227e-29	16.0	3.1084267141994506e-28
ackA											3.4700813246713227e-31	16.0	-2.630156463074732	1.2165617144111376e-30	-2.630156463074732	0.2755591588018614	-9.544797837643005	1.3637332041887889e-21	16.0	9.41500423661106e-21
