gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
G0-10700	9.811074709090098e-05	2.0	0.5670298300846515	0.00034190108834707914	0.5670298300846515	0.010455701606902066	54.23163852632722	0.0	2.0	0.0										
aaeB	1.8196253213421253e-05	2.0	0.37680351350264163	8.41838151540466e-05	0.37680351350264163	0.017678113348646857	21.314690435078777	8.295417161587709e-101	2.0	5.611605726956391e-100	0.0029138065548180896	4.0	-1.5946775571785425	0.0031375421511088608	-1.5946775571785425	0.6491788436359766	-2.456453368453808	0.01403160114449605	4.0	0.01948922344790422
aas	0.004711812120103475	3.0	0.5535736292976533	0.007555794336022505	0.5535736292976533	0.09104483199904814	6.080231212941783	1.20009368638854e-09	3.0	1.7008370027161528e-09	3.680183062204669e-17	3.0	-2.2726670714530877	7.968550780045092e-17	-2.2726670714530877	0.5578873197003072	-4.073702683678035	4.627154567885215e-05	3.0	9.97087929094113e-05
abgB	0.0002458746298346007	4.0	0.414059299979106	0.0007303655978481681	0.414059299979106	0.03789299485399599	10.927067168338148	8.556944928025644e-28	4.0	2.200747816952282e-27										
abgR	0.00018696348237475448	3.0	0.46337517526907285	0.0005811027154891018	0.46337517526907285	0.07562602820356054	6.127191739090388	8.944366189170696e-10	3.0	1.2721227530534293e-09										
aceA	7.124473973753232e-06	2.0	0.4412353424715403	3.6529946171155106e-05	0.4412353424715403	0.08401336117206207	5.251966310071515	1.5048399195329226e-07	2.0	1.9444560758009673e-07	6.308243128638633e-23	3.0	-1.7061268345728262	1.665190649397992e-22	-1.7061268345728262	0.9792705192856727	-1.742242619350328	0.08146599926286341	3.0	0.09284537693767608
acnA	0.0025585826377025763	3.0	0.5249135888582869	0.004778791237472329	0.5249135888582869	0.07277789046849528	7.212541961291334	5.4916899419247e-13	3.0	8.651292374264938e-13	9.954198045322258e-73	3.0	-2.367388982336161	1.29476706459083e-71	-2.367388982336161	0.6426973815770398	-3.6835205031131486	0.0002300347719754153	3.0	0.0004497956597994231
acrD	0.004780748297507382	2.0	0.4366344052633644	0.00757619353132282	0.4366344052633644	0.1748890977683497	2.4966359300550045	0.012537760596617164	2.0	0.012727487112581105	4.568778655088225e-23	10.0	-1.6784590465473077	1.2131594209886634e-22	-1.6784590465473077	0.3312127278612036	-5.067616384750391	4.028282040137314e-07	10.0	1.1073148946472403e-06
acs	0.0012218208764469799	2.0	0.2963602947748152	0.0025951604367805245	0.2963602947748152	0.021321250002133446	13.899761728095717	6.355257506011149e-44	2.0	2.2941624629322758e-43	4.7597347839490116e-11	4.0	-1.2025523744804434	7.85268744226882e-11	-1.2025523744804434	0.43303718995612855	-2.7770187004083304	0.005486002252320753	4.0	0.008338165997388444
actP	0.0006931908527445756	3.0	0.4511635131523873	0.0016460726739214847	0.4511635131523873	0.044620934795566454	10.111027821793078	4.936364802239381e-24	3.0	1.119372863606395e-23	9.604533950682517e-45	7.0	-2.1417170814082325	5.272213590665174e-44	-2.1417170814082325	0.5200211195404753	-4.118519423404946	3.8131443422271704e-05	7.0	8.36747444290681e-05
adiC	0.02944114902717232	3.0	0.4342679138001448	0.03211399047001859	0.4342679138001448	0.02831160704934488	15.338864835304133	4.204837156043602e-53	3.0	1.7721957647199472e-52										
