gene	gene_lfc_negative	fdr_gene_negative
rrlE	-5.752358287478291	1.2806658051944154e-242
rrlA	-5.78698134880548	1.2806658051944154e-242
rrlC	-5.7494318613525905	1.2806658051944154e-242
rrlB	-5.7551746155567205	1.2806658051944154e-242
rrlH	-5.776844104121324	1.2806658051944154e-242
rrlG	-5.7551746155567205	1.2806658051944154e-242
rrlD	-5.736603854180346	1.2806658051944154e-242
rnhB	-4.121200371784147	4.9400802779858815e-234
thrS	-6.0501336193769735	5.831748517832578e-234
rrsC	-5.373072188344367	3.1962251357479496e-214
rrsB	-5.340236873482823	3.1962251357479496e-214
rrsE	-5.3327289237903255	3.1962251357479496e-214
rrsG	-5.2843043275473764	3.1962251357479496e-214
rrsH	-5.37396078860978	3.1962251357479496e-214
rrsD	-5.242192740076947	3.1962251357479496e-214
rrsA	-5.293910727554083	3.1962251357479496e-214
dxs	-5.451434934369701	1.0036369668466588e-213
gyrA	-5.395274391215471	2.3351984584963824e-192
rfaE	-4.198977576617393	2.3091701563873344e-178
argF	-2.7626053474501644	1.6870061891405025e-172
C0362	-2.672478629018283	6.316396875320145e-171
yahH	-2.5378450360202573	1.2058575852883911e-170
gyrB	-5.446892803474842	5.4758810942745186e-148
mukF	-2.8989538700351156	3.1142315431821866e-142
ispE	-3.9308457083142105	4.522460010154124e-142
rpsO	-7.660840427360622	1.3990943832327863e-141
ileT	-6.076224861940536	1.5197968401891838e-134
ileV	-6.076224861940536	1.5197968401891838e-134
ileU	-6.076224861940536	1.5197968401891838e-134
parE	-3.866657246880488	1.8082770139022107e-127
sucD	-3.042374961062436	2.4362130151910726e-127
trpS	-6.356976608273507	4.476783716513452e-127
lolC	-6.394170745240266	3.3942218327156176e-124
pncB	-2.796986253725594	9.889400431058995e-124
C0664	-3.7145167019834777	7.244418253066837e-122
lolD	-7.319527292669999	4.957933018107957e-120
thyA	-4.910097964196411	6.47595685477542e-115
zipA	-7.058586011257639	7.372186267872056e-114
ynjF	-2.0681351895693765	3.7153534013608984e-113
murD	-6.370666408900148	1.3997152337724232e-112
yaaU	-2.9325396756292403	3.049456502418975e-111
argU	-4.213279445737851	7.276639334763167e-111
acnB	-3.189330650527136	5.20480514273669e-109
glnS	-6.219003980147024	7.464309130832717e-108
leuS	-5.721001729292594	3.029979289222787e-107
hemD	-2.1974983682348683	1.0661474875111818e-106
frwC	-4.7976115080221335	1.7055317990104193e-105
murC	-6.003586827469951	3.384493664700107e-105
ileS	-5.472739351343748	6.154356256233188e-105
fhuB	-3.668931789725847	2.561677772771544e-104
iscS	-2.150510787538574	4.6252294690624114e-104
waaF	-4.3387617109748495	6.360405312839221e-104
rutG	-3.904441911697856	8.173721948391422e-104
guaB	-2.85804480871585	2.0336080027903847e-102
pheT	-5.882444195877807	5.600947877285358e-102
garK	-3.7127613892550495	6.010183475157154e-102
yoaA	-3.129255786254863	4.3595805178233135e-101
nusA	-4.82948536110921	1.34258742030306e-100
mdtO	-2.3917313602432007	1.504738911088322e-99
rplI	-5.2129856626460445	2.980132855487332e-99
pnp	-4.314708355751179	4.832675403101525e-99
cydA	-4.515200001567798	5.7267155021703015e-98
priA	-2.8428143660525462	1.6224305231235278e-97
rpoC	-4.781500505332387	7.030853224785264e-97
stfR	-6.179700792602145	3.6443566922622064e-96
suhB	-4.327714498138122	1.2696124218133608e-94
cyoB	-1.5666875761091543	6.753141328538677e-94
pcnB	-1.9606740233112052	7.017293564891185e-94
polA	-2.260186727650642	1.8535200777805195e-92
yabP	-4.615848262117071	6.912530587783188e-92
hemA	-6.077031463333858	9.267734834768636e-92
dcuC	-1.951020865253231	5.172360535830195e-91
hrpA	-1.3337692569812756	5.961007779610662e-91
ycbZ	-2.2587941990690807	9.24001801963527e-91
yidK	-3.590054165420328	1.1156318649110266e-89
yjiL	-3.433154376888997	1.8376585414574382e-89
purD	-3.1704813512296184	3.745192513153097e-89
bamA	-4.244206315918693	4.9209609230169746e-89
asnS	-5.2059324798514	9.791817099900835e-89
valT	-6.347722277673952	1.2327465153194129e-88
valY	-6.1684330651656145	1.2327465153194129e-88
valU	-6.213426062350034	1.2327465153194129e-88
valX	-5.875772537161812	1.2327465153194129e-88
valZ	-5.730609274260812	1.3703298317613118e-88
yicI	-2.4196432034437914	6.021860696740071e-88
fruK	-1.5273230994700142	8.055832594485728e-88
metH	-1.980764542251988	4.263108194583926e-87
ftsI	-5.920109976374551	1.1265631190695394e-85
nadD	-2.9675246082674365	2.608837669794909e-85
ydhX	-1.410338677740977	1.5492933616438962e-84
accC	-7.933446756419908	3.8758823615696437e-84
yagH	-3.2254386366533807	5.531004654999055e-84
yeeJ	-3.17765823676347	5.93907351477146e-84
glyQ	-6.002100449176139	1.3603545147909828e-83
metL	-2.82805281416568	1.6149475429936595e-83
mglB	-1.8785118908908924	2.795994957864382e-83
setB	-2.267273984037551	1.5298293537921953e-82
der	-4.713345861111118	7.795162704191187e-82
dnaB	-5.4217091927129335	1.0893774616908896e-81
secA	-4.820793446335708	1.2833953760212464e-81
ftsH	-5.111818883942379	1.991128296291069e-81
rluD	-3.0997775067318774	2.113436412463781e-81
gcvP	-1.6814563312732407	2.585356409220989e-81
rclA	-5.125595011041636	1.99311035001711e-80
dnaX	-5.193506608986886	2.116374593532353e-80
rpsA	-5.400781395633273	2.5192311047072787e-80
ilvD	-2.5633420583842703	2.9723246189987015e-80
ribD	-3.127738582723932	5.900810203337474e-79
frdA	-2.3557576839903596	1.0628603283366374e-78
purB	-3.0423284133891544	3.252436267947708e-78
rcnB	-5.29131676325549	3.63452677189496e-78
nrfD	-2.1254508524623144	5.722152245263356e-78
yjeF	-3.0502684810767637	8.029015598357637e-78
dnaA	-4.716071108545463	1.5559647774570959e-77
mhpT	-3.947168615797885	1.6547340608290955e-77
rsmH	-5.328689876212438	2.324824828771024e-77
rpoB	-3.6699520028311468	4.7036954888284816e-77
lexA	-2.720409670303519	8.100364156995177e-77
iscR	-2.710970972731734	3.111393440337873e-76
gspA	-2.1641002864685994	3.243133732070241e-76
rpoD	-3.965559758442292	2.731046411720057e-75
ubiJ	-3.676835387515452	3.650823189451007e-75
rne	-4.23784284422921	4.520829214398675e-75
bisC	-3.1949084887393995	7.789692682364614e-75
mdtB	-2.5804227809333153	2.2584236041675005e-73
rpmE	-5.137490357588995	2.538280212700258e-73
zwf	-1.5308399995264685	4.0941947677527395e-73
infB	-4.984741463977051	6.826737906052469e-73
frr	-4.284990224024609	1.4514509129649146e-72
ytfB	-1.7921694158723138	2.594275881769875e-72
rrfF	-7.259301240061271	2.6649424191017865e-72
alaS	-4.8533319404013175	2.8669960306773577e-72
rrfE	-7.027016093576368	3.078966716234968e-72
rrfB	-7.027016093576368	3.078966716234968e-72
rrfG	-6.433675649964056	3.243201324905559e-72
rrfC	-6.433675649964056	3.243201324905559e-72
rrfH	-6.433675649964056	3.243201324905559e-72
rrfD	-6.433675649964056	3.4496784278886767e-72
cydD	-3.792075502013165	7.852202260085961e-72
rlmE	-4.563285304587685	9.75039474676706e-72
cmk	-3.407105297809211	1.0661244333705102e-70
xapR	-2.8404653016003687	1.1496251332606402e-70
pykA	-4.754570186877941	1.5835794374604243e-70
hisS	-5.732707122253548	1.709157822406566e-70
acnA	-2.367388982336161	1.9092151850928093e-70
queA	-2.724111620473667	2.7943456660576174e-70
cydB	-4.4819601065669605	9.891949472608146e-70
mukB	-3.4853421533309765	1.45847558077323e-69
ypdE	-3.1141702369249824	1.817087702157947e-69
glmM	-3.766077070805101	2.8236699706354456e-69
dnaK	-5.1223761447982294	3.567500293332639e-69
groL	-2.645845383876048	4.3048142471989206e-69
yjiA	-2.430285291002862	7.867992886856791e-69
hemH	-4.397258452311191	1.1620065234903631e-68
trmJ	-3.2186483879102092	1.7199640124858997e-68
thiD	-5.293588069311809	2.924516170569887e-67
ftsY	-6.073868660805603	3.3226758483076376e-67
aspT	-7.169040027274169	1.1708620874101895e-66
plsC	-4.478664568994249	1.4786385519942248e-66
lpxL	-3.81224840904985	1.7082173526144725e-66
aspV	-6.640851618530314	1.7235671721504033e-66
aspU	-7.169040027274169	2.283903824824814e-66
infC	-5.637402752002718	3.0438261786043527e-66
ligA	-2.7726588331132658	4.083679156973239e-66
prpR	-1.0699216443687718	5.964865422060065e-66
ribC	-2.8991744887400346	8.175825595415932e-66
dfp	-4.264339685077434	1.0058096221320825e-65
ribF	-4.921726023399911	2.1218060813893185e-65
rpsH	-5.78318529024109	2.4262619480795445e-65
flhB	-4.54982740759238	4.4610846727554785e-65
yacH	-3.265952557873762	5.795684130670008e-65
dnaG	-6.146652398610072	8.314824104235745e-65
guaA	-3.82006546056967	2.3192854127582177e-64
dnaE	-3.639459962335253	3.984404929308016e-64
yidR	-5.108974434572157	4.3939272473200974e-64
holC	-2.8158591367166004	5.634339876348551e-64
lepA	-3.147510513988588	6.001892818917453e-64
rpsF	-5.112999800298004	7.490794168177121e-64
yrfF	-4.262095650939809	8.38023107320612e-64
yahK	-3.2596242673133426	1.402504397560178e-63
lpxK	-4.5982721011598375	1.428757503396034e-63
aspS	-5.239947824870973	1.7205158317252195e-63
murG	-4.5689971030973355	1.7256443713056583e-63
rpoE	-3.6864570365192355	2.1969504741178395e-63
yceQ	-5.4944434413720025	2.231889248804552e-63
argS	-5.652316593710053	2.2772799334022268e-63
agaR	-3.5376109121653876	2.487087441797682e-63
emrD	-1.8240024569993603	2.6224098539875923e-63
yfhR	-5.052632723034015	4.405028423992396e-63
yfaU	-4.960422104522196	6.083742301391423e-63
orn	-4.892171842519572	8.636410989920042e-63
malQ	-1.995361418501166	9.647931836726287e-63
skp	-7.495724139439991	1.2068994882877014e-62
hemC	-3.8786260944804023	2.09423785233789e-62
ydiJ	-2.657666581878786	2.490405157507966e-62
yehM	-2.391122934522869	3.714594854247372e-62
glmU	-5.032539610394127	6.8712867676828705e-62
yagG	-2.9835865725821247	9.19203349272149e-62
mraY	-4.822851061560829	1.4413731473710097e-61
mreC	-3.251111379876879	1.474750546300054e-61
carB	-1.9800500720139182	1.6939055730157615e-61
lipA	-2.4492498476743347	1.9063818817270052e-61
lsrK	-4.298476936436098	2.340750200073159e-61
accA	-7.332996409609044	5.1120102884483506e-61
secG	-3.999226700777824	6.495684437714962e-61
tsaC	-3.03748354226072	1.3881521658882148e-60
sdaB	-5.826757550192212	1.5428341996463486e-60
ssuD	-3.1307413140528757	1.5466609270458738e-60
yqiA	-3.7292208464384515	2.012780466616671e-60
metK	-5.150386801869227	4.7520512662446557e-60
atpD	-2.373591502488979	5.706084658278269e-60
rplM	-5.307010089839289	9.698665675657392e-60
ispU	-8.302103887854068	1.776606868524503e-59
rpmB	-6.333967899092239	2.116775605959341e-59
bamB	-4.165433698074081	3.561817071638375e-59
nrdR	-3.117156847607297	1.0586417833039792e-58
dinG	-2.5910741656680365	1.6501824618246833e-58
phoR	-4.296443938079091	2.780176364391862e-58
ybdK	-2.4703092653797203	3.3132553068813e-58
rpoH	-2.727362782665829	3.5761801970892385e-58
mdlB	-2.2985000279147974	4.300861506181532e-58
mutS	-1.2041932741145625	6.403118340484542e-58
accB	-5.42294596614929	8.801518648998135e-58
mrdA	-4.04499288101094	8.964101662093724e-58
rpsC	-5.882126503124541	1.0987060053391288e-57
pta	-2.265702963129115	1.1489511944089167e-57
rpsG	-6.838800133091773	1.1674597158560678e-57
cvrA	-3.6054605882571082	1.2225730507662997e-57
valS	-5.827261880177329	1.7733778705047416e-57
yegE	-2.1585833947511013	1.9628268788330144e-57
trmD	-6.278946098264888	2.4665869086227804e-57
torS	-2.361321760837057	2.4965361217942437e-57
fliF	-2.277035893984865	2.5051989946138577e-57
psd	-2.6838344484277266	5.136723204923931e-57
fabD	-4.211304819725583	8.282581902272917e-57
ftsA	-6.432162098967074	1.0185657244242678e-56
rfaD	-4.258679086404955	5.215604161045982e-56
murE	-5.373624472901602	6.063762881463318e-56
pbpG	-3.5167116498434194	7.344913980427861e-56
rpsJ	-5.884413092529159	9.60245739750896e-56
thiC	-1.9221268048220257	1.9569557262674985e-55
sucA	-2.5289855153845457	1.9756672415769565e-55
murB	-6.169693096842612	3.0032332655479664e-55
nagK	-2.9259722093544283	3.98450146678058e-55
argO	-5.057680543995667	4.326270046010217e-55
nrdA	-4.876210473849769	4.695330748153407e-55
rplE	-6.6505332501563394	5.281840165152776e-55
nuoH	-1.5255678269178026	7.050441361980405e-55
pgsA	-3.026687615322764	7.09822886456138e-55
adk	-5.204692639844461	8.447998998920417e-55
trkA	-2.2343514108438174	1.203408489695261e-54
chiP	-3.0640198257308415	2.728544122760484e-54
narY	-5.056605892706639	6.265711901686495e-54
mreD	-4.018860584833871	8.346216267800165e-54
secY	-5.995802600071197	9.389072286983147e-54
gudP	-3.164294064141659	1.2517909482633916e-53
copA	-2.016239532856688	4.2343277218158125e-53
yfeH	-3.924506374432607	7.050120859386958e-53
glyS	-6.415011036769114	1.1212636251861732e-52
narQ	-4.229020221328559	1.9463422418772997e-52
potE	-1.7685530172014037	2.6450771225560354e-52
murI	-4.575881803995599	3.4992217309065316e-52
ybeZ	-2.4530770255093723	3.912974996495322e-52
lptE	-7.59030281340974	4.059857709890855e-52
fnr	-3.0395974057313073	4.296968856780954e-52
nikR	-3.3088458869671995	4.522550552154922e-52
entF	-1.4059654016835157	1.3334562369311132e-51
galK	-6.21359059183983	2.4642421216768284e-51
mreB	-4.539783238473868	4.662052698335533e-51
hflD	-3.9627325162410942	7.502403937309757e-51
ftsN	-3.6139040388390606	8.54635862474586e-51
prfB	-5.141176367446619	1.3355402106365077e-50
lptG	-6.168566493356855	1.3945336125481838e-50
tdh	-1.3869824130794612	1.601758368487527e-50
glnD	-2.3608882150590453	1.9227597111229548e-50
hypE	-3.2692519281546617	2.279589417070353e-50
fabZ	-6.205642755794774	2.403260666743976e-50
mutH	-2.9084926422086292	2.8717501851280605e-50
ybeY	-3.044540951290848	3.5790494875703297e-50
tauC	-3.670393140251662	5.4536324568033975e-50
folA	-4.793081649769941	6.13750050291663e-50
lspA	-3.613718663010169	7.040961683013346e-50
nuoG	-1.3203289088631398	9.91742129403847e-50
yhiN	-4.3284304298049046	9.976559427632445e-50
mukE	-3.7865537507884106	1.1771563140986036e-49
glmS	-2.1348247722516436	1.183694190364612e-49
ffh	-4.868686939328268	1.2615146231061882e-49
prmC	-3.2088073614505794	1.4078588924640545e-49
tmk	-7.134642619280004	1.4665613426681269e-49
ddlB	-5.333381232496166	1.755447900838427e-49
lysS	-2.7067992418495113	2.0855954771090333e-49
bcsC	-1.9675888049941226	2.4062615766460947e-49
prfA	-5.10941666150537	2.4863230656689636e-49
ycaR	-5.9508733283030155	2.9564899380836294e-49
murF	-6.0987376585373445	3.816762348657431e-49
phoU	-1.9803524298782413	3.841167288222973e-49
oxyR	-5.4247717136505464	4.92768045289082e-49
ssrA	-2.2388549564549827	5.0411846643490394e-49
hisA	-4.86706960377837	5.182245287093995e-49
dctA	-2.1775228980760155	1.1955808869083201e-48
sdaA	-2.4802625645200136	1.2448278985377483e-48
hemB	-2.2956462638297213	1.3523189629923343e-48
map	-2.7090280594493197	1.6438041492941382e-48
glpK	-1.893262940861117	1.6492087340837806e-48
paaK	-2.69560059237323	3.1082296407775326e-48
fabA	-3.54326951545204	5.280229964684595e-48
hscA	-2.7101270977180487	1.2110006577903558e-47
yghA	-3.1346904221884593	1.255723331070967e-47
nusB	-4.2115918980618785	3.0789921989471597e-47
nirB	-2.4254148349269538	5.143879647411038e-47
mipA	-1.817647535154155	5.999559033306527e-47
pyrH	-3.794993297727989	1.2949732520172446e-46
yejM	-5.584575090891011	1.7376509389691252e-46
wecC	-2.6546978397214094	1.9908030865303674e-46
puuC	-2.5859155466843404	2.1594359625724385e-46
valV	-1.5872832447747431	2.4998922314777128e-46
kdsA	-4.888426163272466	2.6252775853729032e-46
folE	-2.745691274769277	7.044890555566109e-46
nrfC	-5.033168863849714	7.617762366036357e-46
panC	-3.687629569837568	9.684286787388558e-46
yhhA	-2.039846717134431	1.9708976089149375e-45
kdgT	-4.592357686499579	2.0430126223761363e-45
rpoZ	-4.7800589860823175	2.09405929674129e-45
frlA	-2.4579999844607627	2.0946279540481146e-45
rrfA	-7.24591041653889	2.7061999190684688e-45
ypjA	-3.01362452943081	4.3750101574449213e-45
ubiB	-3.8519345244603707	5.344179760717607e-45
otsA	-1.6788035582877106	5.456392146782122e-45
pntA	-2.7661492261804104	6.165999801322046e-45
lolE	-6.017516552051668	6.73920150088013e-45
yeaW	-3.04197529619689	6.86494199406829e-45
topA	-2.487805483114939	9.681978841862784e-45
eutC	-2.152360212312034	1.0155451363929724e-44
hemE	-2.9173857695005907	1.6043289188174446e-44
dnaN	-5.981725055871816	1.618056236136686e-44
yphG	-2.3354568684563355	2.7609483857725255e-44
plsB	-5.102395735982684	3.088317627560622e-44
aldA	-1.9490582372168224	3.3138609459006004e-44
tsaD	-4.147656694124197	3.7272538119419693e-44
malZ	-3.5597523398340756	4.512639436601171e-44
ascF	-3.4459168388067933	5.696134452278323e-44
tsaE	-2.8256219487492467	6.057340674190527e-44
rpsE	-6.890500356108203	8.171228236694931e-44
argA	-3.2369333200906523	1.1534627637269927e-43
tusA	-1.6793783343762838	1.2324713349634558e-43
lptD	-6.5359167500678765	1.3021983328538519e-43
sucB	-2.120062181206243	1.6696579211379383e-43
