gene	gene_lfc_positive	fdr_gene_positive
araA	0.5965650735967347	8.714501538667825e-19
ycjP	0.6125570648466315	3.271115845514429e-13
dnaJ	0.5446180587898776	7.542529446817899e-10
ompF	0.8027167506086524	3.3335440036149096e-09
recC	0.4159524291680413	3.3335440036149096e-09
kdpA	0.5075845145322407	7.37639474771305e-09
exuT	0.5242897102398384	1.8656760947761036e-08
secF	0.511295474555453	2.565189535816891e-08
gntX	0.7509357941014606	7.073068266962761e-08
yhfK	0.5824512090103557	9.208677586208288e-08
relA	0.6014466135044677	1.2921511997585318e-07
rzoR	0.5101082267669063	1.3288302281230604e-07
fdrA	0.4177087831239459	2.098626548738086e-07
yacH	0.47516618303086	3.0260354025780274e-07
thiM	0.5203051904855845	4.506401476493678e-07
yqiK	0.5796206887885729	4.506401476493678e-07
cytR	0.5313708099390482	4.5831293283127064e-07
pqqL	0.6496431761253145	5.77332647218832e-07
curA	0.538475422359498	6.60717387277986e-07
yafX	0.4784725588508504	6.891315059445279e-07
hrpA	0.4253284256976653	6.891315059445279e-07
pinR	0.7807111045938173	9.138318022993475e-07
pinQ	0.7807111045938173	9.138318022993475e-07
sstT	0.5418335367833867	9.138318022993475e-07
sugE	0.718528296554604	9.138318022993475e-07
frmA	0.6801987600124622	9.138318022993475e-07
plsX	0.47595419776598297	9.138318022993475e-07
hyfH	0.4129854355106073	9.758512537690864e-07
rhsC	0.43440261933052016	1.4527724941975758e-06
yghJ	0.4174000496826847	1.4942493115811593e-06
rhsA	0.43765569750693134	1.4942493115811593e-06
ugpQ	0.42029896559386265	1.4942493115811593e-06
rhsB	0.43414569880951365	1.51185654150154e-06
topB	0.5731557420338566	1.6406211315397852e-06
fryC	0.412591891073494	3.2707936963004156e-06
selB	0.6076192438348044	3.2707936963004156e-06
yhcG	0.45997311081076425	3.2707936963004156e-06
ccmC	0.46618137892577405	4.964271488248179e-06
yaiV	0.6275521568591118	5.219076630991992e-06
yigE	0.5218904816739494	5.883228901356134e-06
ycbF	0.40493757256654095	7.665033316464175e-06
argP	0.489445711415999	7.665033316464175e-06
tatB	0.4967863161478496	7.665033316464175e-06
ptsP	0.6410030349493839	7.665033316464175e-06
rpoC	0.48246557070046875	8.475708509151717e-06
flu	0.5065478483642405	1.1464178229930798e-05
murI	0.6105252844431305	1.1573200942574746e-05
yihN	0.4792162641924301	1.1865948455619347e-05
fecA	0.42095332256720164	1.211820313694623e-05
fhuC	0.5686281960440591	1.2380198522194345e-05
yphE	0.6300972236555681	1.2380198522194345e-05
fes	0.5518270307169338	1.3643162929148061e-05
afuC	0.47708959444441124	1.4079030602581055e-05
purN	0.44596865868046703	1.6199839630189833e-05
alpA	0.46574007126080263	1.6199839630189833e-05
ycbL	1.0288495739668078	1.636005486453382e-05
metL	0.3947164605851895	1.7974363872767235e-05
deoB	0.4361313953721593	1.854759343740968e-05
yhiN	0.4570857809184908	1.8606345580744144e-05
yegH	0.4279887389886707	1.8796237071469773e-05
yciV	0.4130357791954996	2.2594862972982486e-05
bcsB	0.5481508185807848	2.530978761359401e-05
ybgL	0.4389523987965507	2.5505670782076627e-05
nirC	0.5045000827397552	2.6617461737372983e-05
fecB	0.46812336483959555	2.7480710684083703e-05
gspF	0.48942737271441544	2.8514409282896472e-05
mlrA	0.5092936915756224	2.9799002918203958e-05
mlaC	0.5085927684611617	2.9799002918203958e-05
yiaD	0.5435833660410568	3.0179613275686558e-05
yjjI	0.680583559119804	3.0179613275686558e-05
typA	0.44378776285522564	3.0179613275686558e-05
ligA	0.6475234310064895	3.0179613275686558e-05
gspD	0.6242933657247942	3.0179613275686558e-05
cheB	0.46189025289804914	3.1262351811221506e-05
ycbX	0.6083140598528333	3.280801443470199e-05
entC	0.42021659191777383	3.3987912641236026e-05
wecB	0.4777474942959666	3.3987912641236026e-05
tamA	0.5566537249806554	3.3987912641236026e-05
ykgO	0.4198840128646798	3.581064475535009e-05
paaH	0.4863655580995802	3.581064475535009e-05
livH	0.5330190629752611	3.7168464193652606e-05
metJ	0.5514532418484099	3.7498045715593575e-05
ytfH	0.701391254557568	4.034347684416475e-05
yhhQ	0.4923404587322357	4.092927840857839e-05
avtA	0.4556558159320847	4.396799070707856e-05
livG	0.5213247567979192	4.5099563110635625e-05
hybC	0.3758937807435154	4.804013033441984e-05
yhhS	0.6629997429109256	4.8597164865244675e-05
ldcC	0.4838850307089153	4.92987873631587e-05
rhlE	0.6171052347800902	4.92987873631587e-05
fabR	0.5619077678077272	4.92987873631587e-05
gntP	0.5285167629770411	4.92987873631587e-05
radD	0.49580948094368094	4.982754910462861e-05
ilvD	0.6325072098426148	5.194253973717648e-05
tesB	0.4383335734785755	5.33421938471525e-05
yphG	0.46322662480071763	5.472618948691889e-05
rrlH	0.5186771535515622	6.588534117322288e-05
rrlD	0.49432046158631693	6.588534117322288e-05
rrlG	0.49432046158631693	6.588534117322288e-05
rrlC	0.5016939370397511	6.588534117322288e-05
gspA	0.568219980569134	6.588534117322288e-05
rrlE	0.49432046158631693	6.588534117322288e-05
rrlB	0.49432046158631693	6.588534117322288e-05
rrlA	0.4840820792638837	6.588534117322288e-05
nadR	0.5746997449233106	6.588534117322288e-05
malI	0.392502812511553	6.615243391823458e-05
ggt	0.4868987691710977	6.80574524020228e-05
rsxD	0.469789243104287	6.81064133029041e-05
gatC	0.47720330630627084	7.460072510191857e-05
yheS	0.5446940456599633	7.655894872582512e-05
yhjH	0.4048480018272288	7.655894872582512e-05
bioA	0.424140179122407	7.958918327739918e-05
rhsD	0.45180062557722933	8.346278255147803e-05
xthA	0.4481996070609455	9.031842614261218e-05
ynjB	0.7309838799291823	9.057127587894496e-05
allR	0.4767009805120743	9.057127587894496e-05
yegL	0.4722772110681173	9.283788647668974e-05
ycaO	0.4441343196577605	9.386054549393404e-05
ynfK	0.42508681925817665	9.672323906423456e-05
gatZ	0.5972304995125615	9.684693603683481e-05
proB	0.40703970386813415	9.716630653442642e-05
yafT	0.5198082810131488	9.795774531689175e-05
ydjX	0.4797227292825381	9.830856599674388e-05
yacC	0.8184154877487391	0.00010116882007652847
yahK	0.4681793258654542	0.00010485066997576008
yegI	0.3948475038910883	0.00010959551428404802
speF	0.37205662831793274	0.00010996409956698502
ves	0.6139960961789377	0.00011173265851714822
yajI	0.44590030753580323	0.00011420698083843843
kdpC	0.6297221585686689	0.00012147445444681919
insH-11	0.38303456182625617	0.00012147445444681919
